well_id,date,value,aquifer_id
aqx-2b-pasture-well-2-17.99N76.88W,2017-01-13,0.00,3
aqx-2b-pasture-well-2-17.99N76.88W,2017-04-06,0.00,3
aqx-2b-pasture-well-2-17.99N76.88W,2017-08-16,0.00,3
aqx-2b-pasture-well-2-17.99N76.88W,2017-12-07,0.00,3
aqx-2b-pasture-well-2-17.99N76.88W,2018-04-27,0.00,3
aqx-2b-pasture-well-2-17.99N76.88W,2019-05-21,0.00,3
aqx-2b-pasture-well-2-17.99N76.88W,2020-11-24,146.00,3
aqx-2b-pasture-well-2-17.99N76.88W,2021-11-09,59.90,3
aqx-2b-pasture-well-2-17.99N76.88W,2022-04-20,45.80,3
aqx-alluvium-tube-well-17.97N77.02W,2021-11-03,124,3
aqx-alluvium-tube-well-17.97N77.02W,2020-11-12,133.00,3
aqx-alluvium-tube-well-17.97N77.02W,2022-11-24,129.00,3
aqx-alluvium-tube-well-17.97N77.02W,2023-04-12,116.00,3
aqx-alluvium-tube-well-17.97N77.02W,2024-04-16,124.00,3
aqx-alluvium-tube-well-17.97N77.02W,2024-11-13,117.00,3
aqx-alluvium-tube-well-17.97N77.02W,2025-04-02,121.00,3
aqx-angels-1-well-angels-pen-18.04N76.98W,2024-04-16,124.00,3
aqx-angels-1-well-angels-pen-18.04N76.98W,2021-01-20,94.64,3
aqx-angels-1-well-angels-pen-18.04N76.98W,2022-06-21,0.00,3
aqx-angels-1-well-angels-pen-18.04N76.98W,2024-03-08,76.00,3
aqx-angels-1-well-angels-pen-18.04N76.98W,2025-01-20,86.01,3
aqx-angels-2-well-18.03N76.97W,2021-03-01,104.26,3
aqx-angels-2-well-18.03N76.97W,2022-06-21,105.73,3
aqx-angels-2-well-18.03N76.97W,2023-02-26,97.78,3
aqx-angels-2-well-18.03N76.97W,2023-09-13,105.07,3
aqx-angels-2-well-18.03N76.97W,2025-01-20,95.12,3
aqx-ariguanabo-2-well-18.04N76.99W,2024-05-02,82.44,3
aqx-ariguanabo-textile-deep--18.03N76.98W,2003-09-15,0.00,3
aqx-banbury-4-18.14N77.04W,2017-04-30,0.00,3
625,2017-04-30,0.00,3
aqx-bellevue-well-18.00N77.01W,2016-07-04,58.20,3
aqx-bellevue-well-18.00N77.01W,2017-04-28,0.00,3
aqx-bellevue-well-18.00N77.01W,2017-11-13,0.00,3
aqx-bellevue-well-18.00N77.01W,2020-12-07,98.60,3
aqx-bellevue-well-18.00N77.01W,2021-04-20,92.10,3
aqx-bellevue-well-18.00N77.01W,2021-11-01,87.40,3
aqx-bellevue-well-18.00N77.01W,2022-11-09,79.80,3
aqx-bellevue-well-18.00N77.01W,2023-04-11,91.90,3
aqx-bellevue-well-18.00N77.01W,2023-10-31,105.00,3
aqx-bellevue-well-18.00N77.01W,2024-04-16,108.00,3
aqx-bellevue-well-18.00N77.01W,2024-11-11,111.00,3
aqx-best-dressed-chicken-hat-17.99N76.91W,2017-03-14,0.00,3
aqx-best-dressed-chicken-hat-17.99N76.91W,2017-11-01,0.00,3
aqx-best-dressed-chicken-hat-17.99N76.91W,2019-04-10,0.00,3
aqx-best-dressed-chicken-hat-17.99N76.91W,2019-11-14,0.00,3
aqx-best-dressed-chicken-hat-17.99N76.91W,2021-06-01,75.30,3
aqx-best-dressed-chicken-hat-17.99N76.91W,2021-11-03,83.20,3
aqx-best-dressed-chicken-hat-17.99N76.91W,2022-11-24,150.00,3
aqx-best-dressed-chicken-hat-17.99N76.91W,2023-04-12,137.00,3
aqx-best-dressed-chicken-hat-17.99N76.91W,2023-11-09,155.00,3
aqx-best-dressed-chicken-hat-17.99N76.91W,2024-11-13,171.00,3
aqx-best-dressed-chicken-hat-17.99N76.91W,2025-04-02,136.00,3
aqx-bodles-1r-17.93N77.13W,2006-08-04,0.00,3
aqx-bodles-1r-17.93N77.13W,2006-10-06,0.00,3
aqx-bodles-1r-17.93N77.13W,2006-12-08,0.00,3
aqx-bodles-1r-17.93N77.13W,2010-10-27,0.00,3
aqx-bodles-1r-17.93N77.13W,2014-03-20,0.00,3
aqx-bodles-1r-17.93N77.13W,2015-05-02,0.00,3
aqx-bodles-1r-17.93N77.13W,2017-05-05,224.00,3
aqx-bodles-1r-17.93N77.13W,2020-01-08,86.00,3
aqx-bodles-1r-17.93N77.13W,2020-12-03,78.80,3
aqx-bodles-1r-17.93N77.13W,2021-11-26,89.90,3
aqx-bodles-1r-17.93N77.13W,2022-04-21,0.00,3
aqx-bodles-1r-17.93N77.13W,2022-11-24,100,3
aqx-bodles-1r-17.93N77.13W,2023-04-19,92.60,3
aqx-bodles-1r-17.93N77.13W,2023-12-05,0.00,3
aqx-bodles-1r-17.93N77.13W,2023-12-11,92.40,3
aqx-bodles-1r-17.93N77.13W,2024-11-08,93.00,3
1078,2006-08-04,0,3
1078,2006-10-06,0.00,3
1078,2019-11-07,0.00,3
1078,2022-03-29,104.21,3
1078,2022-10-25,100.20,3
1078,2023-11-08,100.20,3
