well_id,date,value,aquifer_id
aqx-2b-pasture-well-2-17.99N76.88W,2017-01-13,2.64,3
aqx-2b-pasture-well-2-17.99N76.88W,2017-04-06,3.08,3
aqx-2b-pasture-well-2-17.99N76.88W,2017-08-16,2.64,3
aqx-2b-pasture-well-2-17.99N76.88W,2017-12-07,0.00,3
aqx-2b-pasture-well-2-17.99N76.88W,2018-04-27,3.10,3
aqx-2b-pasture-well-2-17.99N76.88W,2019-05-21,2.64,3
aqx-2b-pasture-well-2-17.99N76.88W,2020-11-24,3.74,3
aqx-2b-pasture-well-2-17.99N76.88W,2021-11-09,2.42,3
aqx-2b-pasture-well-2-17.99N76.88W,2022-04-20,1.32,3
aqx-alluvium-tube-well-17.97N77.02W,2021-11-03,1.32,3
aqx-alluvium-tube-well-17.97N77.02W,2020-11-12,1.76,3
aqx-alluvium-tube-well-17.97N77.02W,2022-04-21,1.32,3
aqx-alluvium-tube-well-17.97N77.02W,2022-11-24,1.32,3
aqx-alluvium-tube-well-17.97N77.02W,2023-04-12,1.32,3
aqx-alluvium-tube-well-17.97N77.02W,2024-04-16,1.32,3
aqx-alluvium-tube-well-17.97N77.02W,2024-11-13,2.64,3
aqx-alluvium-tube-well-17.97N77.02W,2025-04-02,1.32,3
aqx-angels-1-well-angels-pen-18.04N76.98W,2024-04-16,1.32,3
aqx-angels-1-well-angels-pen-18.04N76.98W,2021-01-20,12.88,3
aqx-angels-1-well-angels-pen-18.04N76.98W,2022-06-21,0.00,3
aqx-angels-1-well-angels-pen-18.04N76.98W,2024-03-08,8.10,3
aqx-angels-1-well-angels-pen-18.04N76.98W,2025-01-20,9.75,3
aqx-angels-2-well-18.03N76.97W,2021-03-01,8.66,3
aqx-angels-2-well-18.03N76.97W,2022-06-21,9.40,3
aqx-angels-2-well-18.03N76.97W,2023-02-26,7.29,3
aqx-angels-2-well-18.03N76.97W,2023-09-13,8.01,3
aqx-angels-2-well-18.03N76.97W,2025-01-20,7.75,3
aqx-ariguanabo-2-well-18.04N76.99W,2024-05-02,8.90,3
aqx-ariguanabo-textile-deep--18.03N76.98W,2003-09-15,0.00,3
aqx-banbury-4-18.14N77.04W,2017-04-30,0.00,3
aqx-banbury-4-18.14N77.04W,2021-12-13,6.60,3
aqx-banbury-4-18.14N77.04W,2022-04-19,6.00,3
aqx-banbury-4-18.14N77.04W,2022-11-24,4.00,3
