well_id,date,value,aquifer_id
aqx-2b-pasture-well-2-17.99N76.88W,2017-01-13,7.40,3
aqx-2b-pasture-well-2-17.99N76.88W,2017-04-06,7.60,3
aqx-2b-pasture-well-2-17.99N76.88W,2017-08-16,7.70,3
aqx-2b-pasture-well-2-17.99N76.88W,2017-12-07,0.00,3
aqx-2b-pasture-well-2-17.99N76.88W,2018-04-27,7.70,3
aqx-2b-pasture-well-2-17.99N76.88W,2019-05-21,7.60,3
aqx-2b-pasture-well-2-17.99N76.88W,2020-11-24,5.70,3
aqx-2b-pasture-well-2-17.99N76.88W,2021-11-09,7.60,3
aqx-2b-pasture-well-2-17.99N76.88W,2022-04-20,7.30,3
aqx-alluvium-tube-well-17.97N77.02W,2021-11-03,7.68,3
aqx-alluvium-tube-well-17.97N77.02W,2020-11-12,7.66,3
aqx-alluvium-tube-well-17.97N77.02W,2022-04-21,7.80,3
aqx-alluvium-tube-well-17.97N77.02W,2022-11-24,7.00,3
aqx-alluvium-tube-well-17.97N77.02W,2023-04-12,7.10,3
aqx-alluvium-tube-well-17.97N77.02W,2024-04-16,6.60,3
aqx-alluvium-tube-well-17.97N77.02W,2024-11-13,7.00,3
aqx-alluvium-tube-well-17.97N77.02W,2025-04-02,6.80,3
aqx-angels-1-well-angels-pen-18.04N76.98W,2024-04-16,6.60,3
aqx-angels-1-well-angels-pen-18.04N76.98W,2021-01-20,6.60,3
aqx-angels-1-well-angels-pen-18.04N76.98W,2022-06-21,6.80,3
aqx-angels-1-well-angels-pen-18.04N76.98W,2024-03-08,6.80,3
aqx-angels-1-well-angels-pen-18.04N76.98W,2025-01-20,6.80,3
aqx-angels-2-well-18.03N76.97W,2021-03-01,7.10,3
aqx-angels-2-well-18.03N76.97W,2022-06-21,6.80,3
aqx-angels-2-well-18.03N76.97W,2023-02-26,6.80,3
aqx-angels-2-well-18.03N76.97W,2023-09-13,6.90,3
aqx-angels-2-well-18.03N76.97W,2025-01-20,6.70,3
aqx-ariguanabo-2-well-18.04N76.99W,2024-05-02,7.10,3
aqx-ariguanabo-textile-deep--18.03N76.98W,2003-09-15,0.00,3
aqx-banbury-4-18.14N77.04W,2017-04-30,7.11,3
aqx-banbury-4-18.14N77.04W,2021-12-13,7.47,3
aqx-banbury-4-18.14N77.04W,2022-04-19,7.25,3
aqx-banbury-4-18.14N77.04W,2022-11-24,7.67,3
aqx-banbury-4-18.14N77.04W,2023-04-26,7.46,3
aqx-banbury-4-18.14N77.04W,2023-11-30,7.33,3
aqx-banbury-4-18.14N77.04W,2024-04-24,7.16,3
aqx-banbury-4-18.14N77.04W,2024-11-28,7.44,3
aqx-banbury-4-18.14N77.04W,2025-04-28,7.46,3
625,2017-04-30,7.26,3
625,2021-12-13,7.05,3
625,2022-04-19,6.94,3
625,2022-11-24,6.98,3
625,2023-04-26,7.38,3
625,2023-11-30,6.90,3
625,2024-04-24,6.73,3
625,2025-11-28,6.93,3
625,2025-04-28,6.90,3
aqx-bellevue-well-18.00N77.01W,2016-07-04,7.30,3
aqx-bellevue-well-18.00N77.01W,2017-04-28,7.00,3
aqx-bellevue-well-18.00N77.01W,2017-11-13,7.00,3
aqx-bellevue-well-18.00N77.01W,2020-12-07,7.20,3
aqx-bellevue-well-18.00N77.01W,2021-04-20,7.40,3
aqx-bellevue-well-18.00N77.01W,2021-11-01,7.30,3
aqx-bellevue-well-18.00N77.01W,2022-11-09,5.00,3
aqx-bellevue-well-18.00N77.01W,2023-04-11,7.00,3
aqx-bellevue-well-18.00N77.01W,2023-10-31,7.16,3
aqx-bellevue-well-18.00N77.01W,2024-04-16,7.93,3
aqx-bellevue-well-18.00N77.01W,2024-11-11,7.31,3
aqx-best-dressed-chicken-hat-17.99N76.91W,2017-03-14,7.30,3
aqx-best-dressed-chicken-hat-17.99N76.91W,2017-11-01,0.00,3
aqx-best-dressed-chicken-hat-17.99N76.91W,2019-04-10,7.24,3
aqx-best-dressed-chicken-hat-17.99N76.91W,2019-11-14,7.24,3
aqx-best-dressed-chicken-hat-17.99N76.91W,2021-06-01,7.46,3
aqx-best-dressed-chicken-hat-17.99N76.91W,2021-11-03,7.38,3
aqx-best-dressed-chicken-hat-17.99N76.91W,2022-04-21,7.50,3
aqx-best-dressed-chicken-hat-17.99N76.91W,2022-11-24,7.60,3
aqx-best-dressed-chicken-hat-17.99N76.91W,2023-04-12,7.50,3
aqx-best-dressed-chicken-hat-17.99N76.91W,2023-11-09,7.10,3
aqx-best-dressed-chicken-hat-17.99N76.91W,2024-11-13,6.90,3
aqx-best-dressed-chicken-hat-17.99N76.91W,2025-04-02,6.80,3
aqx-bodles-1r-17.93N77.13W,2006-08-04,7.76,3
aqx-bodles-1r-17.93N77.13W,2006-10-06,7.50,3
aqx-bodles-1r-17.93N77.13W,2006-12-08,26.10,3
