well_id,date,value,aquifer_id
aqx-2b-pasture-well-2-17.99N76.88W,2017-01-13,44.90,3
aqx-2b-pasture-well-2-17.99N76.88W,2017-04-06,118.00,3
aqx-2b-pasture-well-2-17.99N76.88W,2017-08-16,65.20,3
aqx-2b-pasture-well-2-17.99N76.88W,2017-12-07,0.00,3
aqx-2b-pasture-well-2-17.99N76.88W,2018-04-27,47.80,3
aqx-2b-pasture-well-2-17.99N76.88W,2019-05-21,53.70,3
aqx-2b-pasture-well-2-17.99N76.88W,2020-11-24,49.40,3
aqx-2b-pasture-well-2-17.99N76.88W,2021-11-09,48.20,3
aqx-2b-pasture-well-2-17.99N76.88W,2022-04-20,79.20,3
aqx-alluvium-tube-well-17.97N77.02W,2021-11-03,130,3
aqx-alluvium-tube-well-17.97N77.02W,2020-11-12,140.00,3
aqx-alluvium-tube-well-17.97N77.02W,2022-04-21,288.00,3
aqx-alluvium-tube-well-17.97N77.02W,2022-11-24,132.00,3
aqx-alluvium-tube-well-17.97N77.02W,2023-04-12,104.00,3
aqx-alluvium-tube-well-17.97N77.02W,2024-04-16,121.00,3
aqx-alluvium-tube-well-17.97N77.02W,2024-11-13,85.50,3
aqx-alluvium-tube-well-17.97N77.02W,2025-04-02,114.00,3
aqx-angels-1-well-angels-pen-18.04N76.98W,2024-04-16,121.00,3
aqx-angels-1-well-angels-pen-18.04N76.98W,2021-01-20,0.00,3
aqx-angels-1-well-angels-pen-18.04N76.98W,2022-06-21,0.00,3
aqx-angels-1-well-angels-pen-18.04N76.98W,2024-03-08,10.65,3
aqx-angels-1-well-angels-pen-18.04N76.98W,2025-01-20,15.13,3
aqx-angels-2-well-18.03N76.97W,2021-03-01,0.00,3
aqx-angels-2-well-18.03N76.97W,2022-06-21,0.00,3
aqx-angels-2-well-18.03N76.97W,2023-02-26,22.92,3
aqx-angels-2-well-18.03N76.97W,2023-09-13,26.13,3
aqx-angels-2-well-18.03N76.97W,2025-01-20,24.53,3
aqx-ariguanabo-2-well-18.04N76.99W,2024-05-02,81.32,3
aqx-ariguanabo-textile-deep--18.03N76.98W,2003-09-15,0.00,3
aqx-banbury-4-18.14N77.04W,2017-04-30,15.00,3
aqx-banbury-4-18.14N77.04W,2021-12-13,16.85,3
aqx-banbury-4-18.14N77.04W,2022-04-19,31.61,3
aqx-banbury-4-18.14N77.04W,2022-11-24,14.33,3
aqx-banbury-4-18.14N77.04W,2023-04-26,26.72,3
aqx-banbury-4-18.14N77.04W,2023-11-30,25.73,3
aqx-banbury-4-18.14N77.04W,2024-04-24,23.24,3
aqx-banbury-4-18.14N77.04W,2024-11-28,14.57,3
aqx-banbury-4-18.14N77.04W,2025-04-28,18.83,3
625,2017-04-30,8.50,3
625,2021-12-13,9.74,3
625,2022-04-19,10.32,3
625,2022-11-24,16.94,3
625,2023-04-26,13.86,3
625,2023-11-30,12.36,3
625,2024-04-24,23.15,3
625,2025-11-28,14.05,3
625,2025-04-28,18.22,3
aqx-bellevue-well-18.00N77.01W,2016-07-04,10.00,3
aqx-bellevue-well-18.00N77.01W,2017-04-28,16.70,3
aqx-bellevue-well-18.00N77.01W,2017-11-13,13.80,3
aqx-bellevue-well-18.00N77.01W,2020-12-07,13.60,3
aqx-bellevue-well-18.00N77.01W,2021-04-20,13.70,3
aqx-bellevue-well-18.00N77.01W,2021-11-01,10.70,3
aqx-bellevue-well-18.00N77.01W,2022-11-09,12.40,3
aqx-bellevue-well-18.00N77.01W,2023-04-11,18.20,3
aqx-bellevue-well-18.00N77.01W,2023-10-31,13.10,3
aqx-bellevue-well-18.00N77.01W,2024-04-16,12.90,3
aqx-bellevue-well-18.00N77.01W,2024-11-11,11.80,3
aqx-best-dressed-chicken-hat-17.99N76.91W,2017-03-14,202.00,3
aqx-best-dressed-chicken-hat-17.99N76.91W,2017-11-01,212.00,3
aqx-best-dressed-chicken-hat-17.99N76.91W,2019-04-10,68.60,3
aqx-best-dressed-chicken-hat-17.99N76.91W,2019-11-14,118.00,3
aqx-best-dressed-chicken-hat-17.99N76.91W,2021-06-01,64.90,3
aqx-best-dressed-chicken-hat-17.99N76.91W,2021-11-03,80.30,3
aqx-best-dressed-chicken-hat-17.99N76.91W,2022-04-21,105.00,3
aqx-best-dressed-chicken-hat-17.99N76.91W,2022-11-24,72.70,3
aqx-best-dressed-chicken-hat-17.99N76.91W,2023-04-12,97.10,3
aqx-best-dressed-chicken-hat-17.99N76.91W,2023-11-09,86.40,3
aqx-best-dressed-chicken-hat-17.99N76.91W,2024-11-13,126.00,3
aqx-best-dressed-chicken-hat-17.99N76.91W,2025-04-02,123.00,3
aqx-bodles-1r-17.93N77.13W,2006-08-04,0.00,3
aqx-bodles-1r-17.93N77.13W,2006-10-06,0.00,3
aqx-bodles-1r-17.93N77.13W,2006-12-08,0.00,3
aqx-bodles-1r-17.93N77.13W,2010-10-27,0.00,3
aqx-bodles-1r-17.93N77.13W,2014-03-20,98.00,3
aqx-bodles-1r-17.93N77.13W,2015-05-02,97.70,3
aqx-bodles-1r-17.93N77.13W,2017-05-05,97.70,3
aqx-bodles-1r-17.93N77.13W,2020-01-08,92.10,3
aqx-bodles-1r-17.93N77.13W,2020-12-03,85.40,3
aqx-bodles-1r-17.93N77.13W,2021-11-26,90.70,3
aqx-bodles-1r-17.93N77.13W,2022-04-21,0.00,3
aqx-bodles-1r-17.93N77.13W,2022-11-24,88.4,3
aqx-bodles-1r-17.93N77.13W,2023-04-19,96.40,3
aqx-bodles-1r-17.93N77.13W,2023-12-05,0.00,3
aqx-bodles-1r-17.93N77.13W,2023-12-11,94.50,3
aqx-bodles-1r-17.93N77.13W,2024-11-08,96.00,3
1078,2006-08-04,0,3
1078,2006-10-06,0.00,3
1078,2019-11-07,0.00,3
1078,2022-03-29,128.97,3
1078,2022-10-25,111.96,3
1078,2023-11-08,94.72,3
1078,2024-03-14,80.24,3
1078,2024-11-26,91.96,3
867,2010-10-27,0.00,3
867,2014-03-20,93.00,3
867,2015-05-02,91.50,3
867,2017-05-05,92.90,3
867,2020-01-08,80.10,3
867,2021-11-26,88.20,3
867,2021-12-01,0.00,3
867,2022-04-21,0.00,3
867,2022-11-24,87.6,3
867,2023-04-19,88.10,3
867,2023-12-05,0.00,3
867,2023-12-11,88.90,3
867,2024-04-16,94.00,3
867,2024-11-08,170.00,3
867,2025-04-08,92.00,3
aqx-bodles-experimental-17.93N77.13W,1972-02-02,150.00,3
aqx-bodles-experimental-17.93N77.13W,1972-05-28,17.00,3
aqx-bodles-experimental-17.93N77.13W,1974-08-01,105.00,3
aqx-bodles-experimental-17.93N77.13W,1975-11-11,0.00,3
aqx-bodles-experimental-17.93N77.13W,1976-06-10,125.00,3
