well_id,date,value,aquifer_id
aqx-2b-pasture-well-2-17.99N76.88W,2017-01-13,32.00,3
aqx-2b-pasture-well-2-17.99N76.88W,2017-04-06,33.00,3
aqx-2b-pasture-well-2-17.99N76.88W,2017-08-16,34.00,3
aqx-2b-pasture-well-2-17.99N76.88W,2017-12-07,0.00,3
aqx-2b-pasture-well-2-17.99N76.88W,2018-04-27,41.00,3
aqx-2b-pasture-well-2-17.99N76.88W,2019-05-21,42.00,3
aqx-2b-pasture-well-2-17.99N76.88W,2020-11-24,39.00,3
aqx-2b-pasture-well-2-17.99N76.88W,2021-11-09,42.00,3
aqx-2b-pasture-well-2-17.99N76.88W,2022-04-20,43.00,3
aqx-alluvium-tube-well-17.97N77.02W,2021-11-03,105,3
aqx-alluvium-tube-well-17.97N77.02W,2020-11-12,100.00,3
aqx-alluvium-tube-well-17.97N77.02W,2022-04-21,95.00,3
aqx-alluvium-tube-well-17.97N77.02W,2022-11-24,90.00,3
aqx-alluvium-tube-well-17.97N77.02W,2023-04-12,94.00,3
aqx-alluvium-tube-well-17.97N77.02W,2024-04-16,68.00,3
aqx-alluvium-tube-well-17.97N77.02W,2024-11-13,50.00,3
aqx-alluvium-tube-well-17.97N77.02W,2025-04-02,105.00,3
aqx-angels-1-well-angels-pen-18.04N76.98W,2024-04-16,68.00,3
aqx-angels-1-well-angels-pen-18.04N76.98W,2021-01-20,3.29,3
aqx-angels-1-well-angels-pen-18.04N76.98W,2022-06-21,5.22,3
aqx-angels-1-well-angels-pen-18.04N76.98W,2024-03-08,5.33,3
aqx-angels-1-well-angels-pen-18.04N76.98W,2025-01-20,6.33,3
aqx-angels-2-well-18.03N76.97W,2021-03-01,7.08,3
aqx-angels-2-well-18.03N76.97W,2022-06-21,0.00,3
aqx-angels-2-well-18.03N76.97W,2023-02-26,10.34,3
aqx-angels-2-well-18.03N76.97W,2023-09-13,11.74,3
aqx-angels-2-well-18.03N76.97W,2025-01-20,11.19,3
aqx-ariguanabo-2-well-18.04N76.99W,2024-05-02,42.06,3
aqx-ariguanabo-textile-deep--18.03N76.98W,2003-09-15,0.00,3
aqx-banbury-4-18.14N77.04W,2017-04-30,0.00,3
aqx-banbury-4-18.14N77.04W,2021-12-13,8.00,3
aqx-banbury-4-18.14N77.04W,2022-04-19,7.00,3
aqx-banbury-4-18.14N77.04W,2022-11-24,3.00,3
aqx-banbury-4-18.14N77.04W,2023-04-26,9.00,3
aqx-banbury-4-18.14N77.04W,2023-11-30,7.00,3
aqx-banbury-4-18.14N77.04W,2024-04-24,11.00,3
aqx-banbury-4-18.14N77.04W,2024-11-28,7.00,3
aqx-banbury-4-18.14N77.04W,2025-04-28,6.00,3
625,2017-04-30,0.00,3
625,2021-12-13,9.00,3
625,2022-04-19,3.00,3
625,2022-11-24,6.00,3
625,2023-04-26,6.00,3
625,2023-11-30,4.00,3
625,2024-04-24,12.00,3
625,2025-11-28,7.00,3
625,2025-04-28,6.00,3
aqx-bellevue-well-18.00N77.01W,2016-07-04,1.00,3
aqx-bellevue-well-18.00N77.01W,2017-04-28,0.00,3
