well_id,date,value,aquifer_id
aqx-2b-pasture-well-2-17.99N76.88W,2017-01-13,470.00,3
aqx-2b-pasture-well-2-17.99N76.88W,2017-04-06,480.00,3
aqx-2b-pasture-well-2-17.99N76.88W,2017-08-16,475.00,3
aqx-2b-pasture-well-2-17.99N76.88W,2017-12-07,0.00,3
aqx-2b-pasture-well-2-17.99N76.88W,2018-04-27,508.00,3
aqx-2b-pasture-well-2-17.99N76.88W,2019-05-21,506.00,3
aqx-2b-pasture-well-2-17.99N76.88W,2020-11-24,468.00,3
aqx-2b-pasture-well-2-17.99N76.88W,2021-11-09,582.00,3
aqx-2b-pasture-well-2-17.99N76.88W,2022-04-20,482.00,3
aqx-alluvium-tube-well-17.97N77.02W,2021-11-03,969,3
aqx-alluvium-tube-well-17.97N77.02W,2020-11-12,965.00,3
aqx-alluvium-tube-well-17.97N77.02W,2022-04-21,1055.00,3
aqx-alluvium-tube-well-17.97N77.02W,2022-11-24,974.00,3
aqx-alluvium-tube-well-17.97N77.02W,2023-04-12,928.00,3
aqx-alluvium-tube-well-17.97N77.02W,2024-04-16,889.00,3
aqx-alluvium-tube-well-17.97N77.02W,2024-11-13,879.00,3
aqx-alluvium-tube-well-17.97N77.02W,2025-04-02,956.00,3
aqx-angels-1-well-angels-pen-18.04N76.98W,2024-04-16,889.00,3
aqx-angels-1-well-angels-pen-18.04N76.98W,2021-01-20,553.00,3
aqx-angels-1-well-angels-pen-18.04N76.98W,2022-06-21,334.00,3
aqx-angels-1-well-angels-pen-18.04N76.98W,2024-03-08,396.00,3
aqx-angels-1-well-angels-pen-18.04N76.98W,2025-01-20,433.00,3
aqx-angels-2-well-18.03N76.97W,2021-03-01,356.00,3
aqx-angels-2-well-18.03N76.97W,2022-06-21,427.00,3
aqx-angels-2-well-18.03N76.97W,2023-02-26,487.00,3
aqx-angels-2-well-18.03N76.97W,2023-09-13,496.00,3
aqx-angels-2-well-18.03N76.97W,2025-01-20,521.00,3
aqx-ariguanabo-2-well-18.04N76.99W,2024-05-02,650.00,3
aqx-ariguanabo-textile-deep--18.03N76.98W,2003-09-15,0.00,3
aqx-banbury-4-18.14N77.04W,2017-04-30,608.00,3
aqx-banbury-4-18.14N77.04W,2021-12-13,385.00,3
aqx-banbury-4-18.14N77.04W,2022-04-19,378.00,3
aqx-banbury-4-18.14N77.04W,2022-11-24,397.00,3
aqx-banbury-4-18.14N77.04W,2023-04-26,394.00,3
aqx-banbury-4-18.14N77.04W,2023-11-30,400.00,3
aqx-banbury-4-18.14N77.04W,2024-04-24,407.00,3
aqx-banbury-4-18.14N77.04W,2024-11-28,387.00,3
aqx-banbury-4-18.14N77.04W,2025-04-28,393.00,3
625,2017-04-30,587.70,3
625,2021-12-13,360.00,3
625,2022-04-19,368.00,3
625,2022-11-24,383.00,3
625,2023-04-26,369.00,3
625,2023-11-30,371.00,3
625,2024-04-24,406.00,3
625,2025-11-28,389.00,3
625,2025-04-28,391.00,3
aqx-bellevue-well-18.00N77.01W,2016-07-04,1328.00,3
aqx-bellevue-well-18.00N77.01W,2017-04-28,332.00,3
aqx-bellevue-well-18.00N77.01W,2017-11-13,364.00,3
aqx-bellevue-well-18.00N77.01W,2020-12-07,460.00,3
aqx-bellevue-well-18.00N77.01W,2021-04-20,384.00,3
aqx-bellevue-well-18.00N77.01W,2021-11-01,350.00,3
aqx-bellevue-well-18.00N77.01W,2022-11-09,364.00,3
aqx-bellevue-well-18.00N77.01W,2023-04-11,360.00,3
aqx-bellevue-well-18.00N77.01W,2023-10-31,323.00,3
aqx-bellevue-well-18.00N77.01W,2024-04-16,410.00,3
aqx-bellevue-well-18.00N77.01W,2024-11-11,343.00,3
aqx-best-dressed-chicken-hat-17.99N76.91W,2017-03-14,1420.00,3
aqx-best-dressed-chicken-hat-17.99N76.91W,2017-11-01,877.00,3
aqx-best-dressed-chicken-hat-17.99N76.91W,2019-04-10,714.00,3
aqx-best-dressed-chicken-hat-17.99N76.91W,2019-11-14,555.00,3
aqx-best-dressed-chicken-hat-17.99N76.91W,2021-06-01,566.00,3
aqx-best-dressed-chicken-hat-17.99N76.91W,2021-11-03,616.00,3
aqx-best-dressed-chicken-hat-17.99N76.91W,2022-04-21,756.00,3
aqx-best-dressed-chicken-hat-17.99N76.91W,2022-11-24,625.00,3
aqx-best-dressed-chicken-hat-17.99N76.91W,2023-04-12,1042.00,3
aqx-best-dressed-chicken-hat-17.99N76.91W,2023-11-09,1085.00,3
aqx-best-dressed-chicken-hat-17.99N76.91W,2024-11-13,1140.00,3
aqx-best-dressed-chicken-hat-17.99N76.91W,2025-04-02,1043.00,3
aqx-bodles-1r-17.93N77.13W,2006-08-04,0.00,3
aqx-bodles-1r-17.93N77.13W,2006-10-06,0.00,3
aqx-bodles-1r-17.93N77.13W,2006-12-08,0.00,3
aqx-bodles-1r-17.93N77.13W,2010-10-27,0.00,3
aqx-bodles-1r-17.93N77.13W,2014-03-20,0.00,3
aqx-bodles-1r-17.93N77.13W,2015-05-02,0.00,3
aqx-bodles-1r-17.93N77.13W,2017-05-05,0.00,3
aqx-bodles-1r-17.93N77.13W,2020-01-08,0.00,3
aqx-bodles-1r-17.93N77.13W,2020-12-03,0.00,3
aqx-bodles-1r-17.93N77.13W,2021-11-26,680.00,3
aqx-bodles-1r-17.93N77.13W,2022-04-21,0.00,3
aqx-bodles-1r-17.93N77.13W,2022-11-24,764,3
aqx-bodles-1r-17.93N77.13W,2023-04-19,0.00,3
aqx-bodles-1r-17.93N77.13W,2023-12-05,0.00,3
aqx-bodles-1r-17.93N77.13W,2023-12-11,0.00,3
1078,2006-08-04,0,3
1078,2006-10-06,0.00,3
1078,2019-11-07,531.00,3
1078,2021-01-07,772.00,3
1078,2022-03-29,544.00,3
1078,2022-10-25,678.00,3
1078,2023-11-08,540.00,3
1078,2024-03-14,642.00,3
1078,2024-11-26,684.00,3
867,2010-10-27,0.00,3
867,2014-03-20,0.00,3
867,2015-05-02,0.00,3
867,2017-05-05,0.00,3
867,2020-01-08,0.00,3
867,2021-11-26,720.00,3
867,2021-12-01,0.00,3
867,2022-04-21,0.00,3
867,2022-11-24,754,3
867,2023-04-19,0.00,3
867,2023-12-05,0.00,3
867,2023-12-11,0.00,3
aqx-bodles-experimental-17.93N77.13W,1972-02-02,639.00,3
aqx-bodles-experimental-17.93N77.13W,1972-05-28,284.00,3
aqx-bodles-experimental-17.93N77.13W,1974-08-01,0.00,3
aqx-bodles-experimental-17.93N77.13W,1975-11-11,880.00,3
aqx-bodles-experimental-17.93N77.13W,1976-06-10,830.00,3
aqx-bodles-experimental-17.93N77.13W,1980-12-03,0.00,3
aqx-bodles-experimental-17.93N77.13W,1982-10-14,0.00,3
aqx-bodles-experimental-17.93N77.13W,1983-02-01,0.00,3
aqx-bodles-experimental-17.93N77.13W,1983-05-01,0.00,3
aqx-bodles-experimental-17.93N77.13W,2000-08-18,848.00,3
1106,2006-12-08,0.00,3
1106,2006-10-06,0.00,3
1106,2006-08-04,0.00,3
1106,2017-01-20,0.00,3
1106,2018-05-24,464.00,3
1106,2019-11-27,682.00,3
aqx-bodles-rose-hall-17.94N77.14W,1978-07-06,0.00,3
aqx-bodles-rose-hall-17.94N77.14W,1982-04-01,0.00,3
aqx-bodles-rose-hall-17.94N77.14W,1982-09-24,0.00,3
aqx-bodles-rose-hall-17.94N77.14W,1982-10-14,0.00,3
aqx-bodles-rose-hall-17.94N77.14W,1982-11-16,0.00,3
