well_id,date,value,aquifer_id
aqx-klamath-basin-groundwate-42.47N121.42W,2022-02-24,115,ID_00000
USGS-423445121424201,2022-03-10,74,ID_00000
USGS-422753121284201,2022-02-24,226,ID_00000
aqx-klamath-basin-groundwate-42.62N121.76W,2022-03-02,127,ID_00000
USGS-423618121453901,2022-03-09,53,ID_00000
USGS-422756121280701,2019-11-05,216,ID_00000
USGS-423659121431601,2019-11-20,84,ID_00000
USGS-423618121453901,2019-10-24,53,ID_00000
USGS-422753121284201,2019-10-24,210,ID_00000
USGS-422301121030301,2019-11-21,120,ID_00000
USGS-423445121424201,2019-11-20,71,ID_00000
