well_id,date,value,aquifer_id
aqx-klamath-basin-groundwate-42.47N121.42W,2022-02-24,72.3,ID_00000
USGS-423445121424201,2022-03-10,52.4,ID_00000
USGS-422753121284201,2022-02-24,141,ID_00000
aqx-klamath-basin-groundwate-42.62N121.76W,2022-03-02,54.7,ID_00000
USGS-423618121453901,2022-03-09,27.9,ID_00000
USGS-422756121280701,2019-11-05,133,ID_00000
USGS-423659121431601,2019-11-20,47.5,ID_00000
USGS-423618121453901,2019-10-24,27.8,ID_00000
USGS-422753121284201,2019-10-24,133,ID_00000
USGS-422301121030301,2019-11-21,86,ID_00000
USGS-423445121424201,2019-11-20,48.2,ID_00000
