well_id,date,value,aquifer_id
aqx-klamath-basin-groundwate-42.47N121.42W,2022-02-24,199,ID_00000
USGS-423445121424201,2022-03-10,97,ID_00000
USGS-422753121284201,2022-02-24,273,ID_00000
aqx-klamath-basin-groundwate-42.62N121.76W,2022-03-02,155,ID_00000
USGS-423618121453901,2022-03-09,107,ID_00000
USGS-422756121280701,2019-11-05,245,ID_00000
USGS-423659121431601,2019-11-20,131,ID_00000
USGS-423618121453901,2019-10-24,110,ID_00000
USGS-422753121284201,2019-10-24,266,ID_00000
USGS-422301121030301,2019-11-21,157,ID_00000
USGS-423445121424201,2019-11-20,107,ID_00000
